timestamp,t_in_drive,source_drive,rpm,speed_kph,coolant_temp_c,engine_load_pct,throttle_pct,intake_temp_c
0,0,real_drive_20260608_190738,816.25,12,88,20.78431373,13.33333333,61
0.51,0.51,real_drive_20260608_190738,785,12,89,25.88235294,14.11764706,61
1.01,1.01,real_drive_20260608_190738,832,9,89,28.62745098,16.07843137,61
1.51,1.51,real_drive_20260608_190738,992,7,88,40,16.07843137,61
2.01,2.01,real_drive_20260608_190738,1156.25,6,88,40,16.47058824,61
2.51,2.51,real_drive_20260608_190738,1480.25,6,88,48.62745098,19.21568627,61
3.01,3.01,real_drive_20260608_190738,1656.25,8,88,49.80392157,19.60784314,61
3.51,3.51,real_drive_20260608_190738,1671.75,8,88,51.76470588,20,61
4.01,4.01,real_drive_20260608_190738,1671.75,11,88,49.80392157,19.60784314,61
4.52,4.52,real_drive_20260608_190738,1644.5,13,88,49.80392157,19.60784314,61
5.02,5.02,real_drive_20260608_190738,1472.5,13,88,49.80392157,19.60784314,61
5.53,5.53,real_drive_20260608_190738,1324,16,88,54.90196078,19.21568627,60
6.03,6.03,real_drive_20260608_190738,1250,19,88,57.64705882,19.21568627,60
6.53,6.53,real_drive_20260608_190738,1242,21,88,62.74509804,20,60
7.03,7.03,real_drive_20260608_190738,1218.75,21,88,64.70588235,20,60
7.53,7.53,real_drive_20260608_190738,1218.75,23,88,62.74509804,20,60
8.03,8.03,real_drive_20260608_190738,1226.5,25,88,37.64705882,14.50980392,60
8.53,8.53,real_drive_20260608_190738,1222.5,26,88,42.74509804,19.21568627,60
9.03,9.03,real_drive_20260608_190738,1347.5,27,88,60.78431373,19.21568627,60
9.53,9.53,real_drive_20260608_190738,1257.75,27,88,60.78431373,19.21568627,60
10.04,10.04,real_drive_20260608_190738,1226.5,29,88,51.76470588,16.8627451,60
10.54,10.54,real_drive_20260608_190738,1222.5,30,88,25.88235294,14.50980392,60
11.04,11.04,real_drive_20260608_190738,1195.25,30,88,17.64705882,14.11764706,60
11.54,11.54,real_drive_20260608_190738,1195.25,30,88,23.92156863,14.90196078,60
12.04,12.04,real_drive_20260608_190738,1195.25,30,88,24.70588235,14.50980392,60
12.54,12.54,real_drive_20260608_190738,1242,30,88,20,14.11764706,60
13.04,13.04,real_drive_20260608_190738,1238.25,30,88,15.68627451,13.7254902,60
