session_id,fault_class,severity,driving_context,ground_truth_dtc,seconds
healthy_000,healthy,severe,highway,,300
healthy_001,healthy,severe,highway,,300
healthy_002,healthy,moderate,city,,300
healthy_003,healthy,moderate,highway,,300
healthy_004,healthy,moderate,highway,,300
healthy_005,healthy,mild,highway,,300
healthy_006,healthy,moderate,city,,300
healthy_007,healthy,severe,highway,,300
healthy_008,healthy,severe,highway,,300
healthy_009,healthy,moderate,highway,,300
healthy_010,healthy,severe,highway,,300
healthy_011,healthy,mild,city,,300
healthy_012,healthy,moderate,city,,300
healthy_013,healthy,moderate,city,,300
healthy_014,healthy,moderate,highway,,300
healthy_015,healthy,mild,highway,,300
healthy_016,healthy,severe,city,,300
healthy_017,healthy,moderate,highway,,300
healthy_018,healthy,moderate,highway,,300
healthy_019,healthy,severe,city,,300
healthy_020,healthy,moderate,highway,,300
healthy_021,healthy,moderate,highway,,300
healthy_022,healthy,moderate,highway,,300
healthy_023,healthy,severe,city,,300
healthy_024,healthy,mild,highway,,300
vacuum_leak_000,vacuum_leak,moderate,city,P0171,300
vacuum_leak_001,vacuum_leak,mild,city,,300
vacuum_leak_002,vacuum_leak,moderate,city,P0171,300
vacuum_leak_003,vacuum_leak,moderate,city,P0171,300
vacuum_leak_004,vacuum_leak,moderate,city,P0171,300
vacuum_leak_005,vacuum_leak,moderate,city,P0171,300
vacuum_leak_006,vacuum_leak,mild,city,,300
vacuum_leak_007,vacuum_leak,moderate,city,P0171,300
vacuum_leak_008,vacuum_leak,moderate,city,P0171,300
vacuum_leak_009,vacuum_leak,severe,city,P0171,300
vacuum_leak_010,vacuum_leak,mild,city,,300
vacuum_leak_011,vacuum_leak,moderate,city,P0171,300
vacuum_leak_012,vacuum_leak,mild,city,,300
vacuum_leak_013,vacuum_leak,moderate,city,P0171,300
vacuum_leak_014,vacuum_leak,mild,city,,300
vacuum_leak_015,vacuum_leak,severe,city,P0171,300
vacuum_leak_016,vacuum_leak,severe,city,P0171,300
vacuum_leak_017,vacuum_leak,severe,city,P0171,300
vacuum_leak_018,vacuum_leak,severe,city,P0171,300
vacuum_leak_019,vacuum_leak,moderate,city,P0171,300
vacuum_leak_020,vacuum_leak,moderate,city,P0171,300
vacuum_leak_021,vacuum_leak,moderate,city,P0171,300
vacuum_leak_022,vacuum_leak,mild,city,,300
vacuum_leak_023,vacuum_leak,severe,city,P0171,300
vacuum_leak_024,vacuum_leak,mild,city,,300
dirty_maf_000,dirty_maf,moderate,city,P0101,300
dirty_maf_001,dirty_maf,severe,highway,P0101,300
dirty_maf_002,dirty_maf,severe,city,P0101,300
dirty_maf_003,dirty_maf,mild,highway,,300
dirty_maf_004,dirty_maf,mild,city,,300
dirty_maf_005,dirty_maf,severe,highway,P0101,300
dirty_maf_006,dirty_maf,severe,highway,P0101,300
dirty_maf_007,dirty_maf,moderate,city,P0101,300
dirty_maf_008,dirty_maf,moderate,highway,P0101,300
dirty_maf_009,dirty_maf,moderate,city,P0101,300
dirty_maf_010,dirty_maf,moderate,highway,P0101,300
dirty_maf_011,dirty_maf,mild,highway,,300
dirty_maf_012,dirty_maf,severe,highway,P0101,300
dirty_maf_013,dirty_maf,moderate,highway,P0101,300
dirty_maf_014,dirty_maf,severe,highway,P0101,300
dirty_maf_015,dirty_maf,mild,highway,,300
dirty_maf_016,dirty_maf,moderate,city,P0101,300
dirty_maf_017,dirty_maf,severe,highway,P0101,300
dirty_maf_018,dirty_maf,severe,city,P0101,300
dirty_maf_019,dirty_maf,mild,highway,,300
dirty_maf_020,dirty_maf,severe,highway,P0101,300
dirty_maf_021,dirty_maf,severe,highway,P0101,300
dirty_maf_022,dirty_maf,severe,highway,P0101,300
dirty_maf_023,dirty_maf,moderate,highway,P0101,300
dirty_maf_024,dirty_maf,mild,highway,,300
air_filter_restriction_000,air_filter_restriction,mild,city,,300
air_filter_restriction_001,air_filter_restriction,moderate,city,,300
air_filter_restriction_002,air_filter_restriction,severe,highway,,300
air_filter_restriction_003,air_filter_restriction,moderate,highway,,300
air_filter_restriction_004,air_filter_restriction,mild,city,,300
air_filter_restriction_005,air_filter_restriction,mild,city,,300
air_filter_restriction_006,air_filter_restriction,mild,city,,300
air_filter_restriction_007,air_filter_restriction,moderate,highway,,300
air_filter_restriction_008,air_filter_restriction,moderate,highway,,300
